subject,shape,spacing
sub-verse004,"(161, 338, 61)","(1.0, 1.0, 2.000296115875244)"
sub-verse005,"(154, 295, 154)","(1.0, 1.0, 1.0)"
sub-verse006,"(915, 1189, 121)","(1.0, 1.0, 3.0)"
sub-verse007,"(250, 325, 38)","(1.0, 1.0, 3.0)"
sub-verse008,"(269, 269, 73)","(1.0, 1.0, 1.9965007305145264)"
sub-verse009,"(459, 459, 66)","(1.0, 1.0, 2.0)"
sub-verse014,"(186, 186, 40)","(1.0, 1.0, 1.9999990463256836)"
sub-verse015,"(291, 291, 58)","(1.0, 1.0, 1.999998688697815)"
sub-verse031,"(216, 216, 74)","(1.0, 1.0, 1.9999974966049194)"
sub-verse033,"(275, 605, 81)","(1.0, 1.0, 2.000420093536377)"
sub-verse034,"(231, 462, 97)","(1.0, 1.0, 3.0)"
sub-verse036,"(234, 234, 88)","(1.0, 1.0, 2.0)"
sub-verse043,"(407, 407, 75)","(1.0, 1.0, 2.0)"
sub-verse046,"(198, 198, 50)","(1.0, 1.0, 2.0)"
sub-verse048,"(175, 175, 57)","(1.0, 1.0, 1.9999746084213257)"
sub-verse051,"(392, 392, 453)","(1.0, 1.0, 1.0)"
sub-verse056,"(183, 363, 115)","(1.0, 1.0, 2.0001614093780518)"
sub-verse060,"(204, 272, 62)","(1.0, 1.0, 2.0001819133758545)"
sub-verse061,"(492, 640, 110)","(1.0, 1.0, 3.0)"
sub-verse063,"(177, 177, 300)","(1.0, 1.0, 1.0)"
sub-verse064,"(512, 512, 38)","(0.957891047000885, 0.9578911066055298, 1.9994335174560547)"
sub-verse065,"(196, 196, 80)","(1.0, 1.0, 1.9954489469528198)"
sub-verse068,"(445, 579, 132)","(1.0, 1.0, 3.0)"
sub-verse072,"(162, 162, 253)","(1.0, 1.0, 1.0)"
sub-verse074,"(512, 512, 688)","(0.9765625, 0.9765625, 1.0)"
sub-verse075,"(381, 381, 252)","(1.0, 1.0, 1.0)"
sub-verse076,"(256, 256, 71)","(1.0, 1.0, 2.0)"
sub-verse082,"(444, 444, 709)","(1.0, 1.0, 1.0)"
sub-verse088,"(250, 250, 372)","(1.0, 1.0, 1.0)"
sub-verse091,"(365, 365, 619)","(1.0, 1.0, 1.0)"
