subject,shape,spacing,min_intensity,max_intensity
sub-verse004,"(161, 338, 122)","(1.0, 1.0, 1.0)",0.0,1.0
sub-verse005,"(154, 295, 154)","(1.0, 1.0, 1.0)",0.0,1.0
sub-verse006,"(915, 1189, 363)","(1.0, 1.0, 1.0)",0.0,1.0
sub-verse007,"(250, 325, 114)","(1.0, 1.0, 1.0)",0.0,1.0
sub-verse008,"(269, 269, 146)","(1.0, 1.0, 1.0)",0.0,1.0
sub-verse009,"(459, 459, 132)","(1.0, 1.0, 1.0)",0.0,1.0
sub-verse014,"(186, 186, 80)","(1.0, 1.0, 1.0)",0.0,1.0
sub-verse015,"(291, 291, 116)","(1.0, 1.0, 1.0)",0.0,1.0
sub-verse031,"(216, 216, 148)","(1.0, 1.0, 1.0)",0.0,1.0
sub-verse033,"(275, 605, 162)","(1.0, 1.0, 1.0)",0.0,1.0
sub-verse034,"(231, 462, 291)","(1.0, 1.0, 1.0)",0.0,1.0
sub-verse036,"(234, 234, 176)","(1.0, 1.0, 1.0)",0.0,1.0
sub-verse043,"(407, 407, 150)","(1.0, 1.0, 1.0)",0.0,0.9488714933395386
sub-verse046,"(198, 198, 100)","(1.0, 1.0, 1.0)",0.0,1.0
sub-verse048,"(175, 175, 114)","(1.0, 1.0, 1.0)",0.0,1.0
sub-verse051,"(392, 392, 453)","(1.0, 1.0, 1.0)",0.0,1.0
sub-verse056,"(183, 363, 230)","(1.0, 1.0, 1.0)",0.0,1.0
sub-verse060,"(204, 272, 124)","(1.0, 1.0, 1.0)",0.0,1.0
sub-verse061,"(492, 640, 330)","(1.0, 1.0, 1.0)",0.0,1.0
sub-verse063,"(177, 177, 300)","(1.0, 1.0, 1.0)",0.0,1.0
sub-verse064,"(490, 490, 76)","(1.0, 1.0, 1.0)",0.0,1.0
sub-verse065,"(196, 196, 160)","(1.0, 1.0, 1.0)",0.0,1.0
sub-verse068,"(445, 579, 396)","(1.0, 1.0, 1.0)",0.0,1.0
sub-verse072,"(162, 162, 253)","(1.0, 1.0, 1.0)",0.0,1.0
sub-verse074,"(500, 500, 688)","(1.0, 1.0, 1.0)",0.0,1.0
sub-verse075,"(381, 381, 252)","(1.0, 1.0, 1.0)",0.0,1.0
sub-verse076,"(256, 256, 142)","(1.0, 1.0, 1.0)",0.0,1.0
sub-verse082,"(444, 444, 709)","(1.0, 1.0, 1.0)",0.0,1.0
sub-verse088,"(250, 250, 372)","(1.0, 1.0, 1.0)",0.0,1.0
sub-verse091,"(365, 365, 619)","(1.0, 1.0, 1.0)",0.0,1.0
